cfg,a_sharpe,a_calmar,a_cagr,a_dd,a_in,b_sharpe,b_calmar,b_cagr,b_dd,b_in
up=120 down= 80 vWin=15 vEntry=off vExit=150,0.2950053837200458,0.07742370808315462,4.364813979727145,-56.37567726721699,34.5934065934066,0.7235726754967066,0.6286477348510021,23.86084437927851,-37.9558265408112,45.10818438381938
up=120 down= 80 vWin=15 vEntry= 90 vExit=off,0.2950053837200458,0.07742370808315462,4.364813979727145,-56.37567726721699,34.5934065934066,0.7235726754967066,0.6286477348510021,23.86084437927851,-37.9558265408112,45.10818438381938
up=120 down= 80 vWin=15 vEntry= 90 vExit= 60,0.3278489912583571,0.1045761648041559,4.70025946189907,-44.9458007061307,25.45054945054945,0.20854948585128055,0.0683411649166066,1.8051362593130893,-26.41360096094073,6.114769520225776
up=120 down= 80 vWin=15 vEntry= 90 vExit= 70,0.11661893100840846,-0.0016993496668084693,-0.1004275327395443,-59.097626992893225,31.472527472527474,0.295667233531495,0.10776718386528901,3.7199270939267004,-34.51818040060023,10.72436500470367
up=120 down= 80 vWin=15 vEntry= 90 vExit= 80,0.16538774101427958,0.018418829216543482,1.0383739715518425,-56.37567726721699,31.692307692307693,0.5482825736414315,0.34383587771224833,12.59588537217866,-36.633423643823434,24.27093132643462
up=120 down= 80 vWin=15 vEntry= 90 vExit=100,0.16538774101427958,0.018418829216543482,1.0383739715518425,-56.37567726721699,31.692307692307693,0.47412296773829754,0.25713479055430816,10.392302023204735,-40.415775713593405,26.528692380056444
up=120 down= 80 vWin=15 vEntry= 90 vExit=120,0.17219648677594168,0.02051480754553318,1.1565361693860465,-56.37567726721699,32.08791208791209,0.4979131776010703,0.2923660759320217,11.3884476604462,-38.952698681409736,28.080903104421452
up=120 down= 80 vWin=15 vEntry= 90 vExit=150,0.2950053837200458,0.07742370808315462,4.364813979727145,-56.37567726721699,34.5934065934066,0.7235726754967066,0.6286477348510021,23.86084437927851,-37.9558265408112,45.10818438381938
up=120 down= 80 vWin=15 vEntry=120 vExit=off,0.2950053837200458,0.07742370808315462,4.364813979727145,-56.37567726721699,34.5934065934066,0.7235726754967066,0.6286477348510021,23.86084437927851,-37.9558265408112,45.10818438381938
up=120 down= 80 vWin=15 vEntry=120 vExit= 60,0.3278489912583571,0.1045761648041559,4.70025946189907,-44.9458007061307,25.45054945054945,0.20854948585128055,0.0683411649166066,1.8051362593130893,-26.41360096094073,6.114769520225776
up=120 down= 80 vWin=15 vEntry=120 vExit= 70,0.11661893100840846,-0.0016993496668084693,-0.1004275327395443,-59.097626992893225,31.472527472527474,0.295667233531495,0.10776718386528901,3.7199270939267004,-34.51818040060023,10.72436500470367
up=120 down= 80 vWin=15 vEntry=120 vExit= 80,0.16538774101427958,0.018418829216543482,1.0383739715518425,-56.37567726721699,31.692307692307693,0.5482825736414315,0.34383587771224833,12.59588537217866,-36.633423643823434,24.27093132643462
