date,price,slope_up,slope_down,slope_up_prev,slope_down_prev,slope,vol,in_market,asset_ret,strat_ret,strat_equity,bh_equity
2022-11-25,26.1347,0.26345714285714283,0.1323094746716698,0.25168496240601507,0.12347362101313324,0.26345714285714283,120.00313489363417,True,-0.017414908695799314,-0.017414908695799314,11200560.828669254,10161236.391913043
2022-11-28,24.43,0.28892992481203006,0.12933287054409007,0.26345714285714283,0.1323094746716698,0.28892992481203006,115.26001820787756,True,-0.06522745621721304,-0.06522745621721304,10469976.737608997,9498444.790046783
2022-11-29,23.7259,0.28993857142857143,0.12980727016885554,0.28892992481203006,0.12933287054409007,0.28993857142857143,114.88620448017227,True,-0.028821121571837915,-0.028821121571837915,10168220.265200054,9224688.958009455
2022-11-30,27.2649,0.3318570676691729,0.15114915572232646,0.28993857142857143,0.12980727016885554,0.3318570676691729,124.49155393722651,True,0.14916188637733452,0.14916188637733452,11684931.181057535,10600660.964230314
2022-12-01,27.3761,0.33123007518797,0.1733611163227017,0.3318570676691729,0.15114915572232646,0.33123007518797,116.52942494680974,True,0.004078503863942373,0.004078503863942373,11732588.218029378,10643895.80093327
2022-12-02,26.8943,0.28471947368421047,0.1908858911819888,0.33123007518797,0.1733611163227017,0.28471947368421047,110.30554716283439,True,-0.01759929281380468,-0.01759929281380468,11526102.962516485,10456570.762053018
2022-12-05,25.5417,0.2227458646616541,0.19139311444652912,0.28471947368421047,0.1908858911819888,0.2227458646616541,112.1482277647836,True,-0.050293184801240454,-0.050293184801240454,10946418.536184518,9930676.51632984
2022-12-06,23.8927,0.14475887218045108,0.18111998123827397,0.2227458646616541,0.19139311444652912,0.14475887218045108,114.61003481600468,True,-0.06456109029547752,-0.06456109029547752,10239705.820657821,9289541.21306389
2022-12-07,23.5314,0.06613082706766917,0.1652213883677299,0.14475887218045108,0.18111998123827397,0.06613082706766917,114.6008148091889,True,-0.015121773596119326,-0.015121773596119326,10084863.307546968,9149066.874028118
2022-12-08,24.6524,-0.025530526315789497,0.1518324484052533,0.06613082706766917,0.1652213883677299,-0.025530526315789497,111.01328986044498,True,0.04763847454890047,0.04763847454890047,10565290.811552685,9584914.463452695
2022-12-09,24.1614,-0.05312037593984962,0.14193916510318952,-0.025530526315789497,0.1518324484052533,-0.05312037593984962,78.15441768695702,True,-0.01991692492414532,-0.01991692492414532,10354862.707657227,9394012.441679753
2022-12-12,25.7363,-0.03832466165413532,0.13060721388367733,-0.05312037593984962,0.14193916510318952,-0.03832466165413532,79.67584544354217,True,0.0651824811476156,0.0651824811476156,11029818.350885242,10006337.48056001
2022-12-13,26.6349,-0.021071203007518795,0.1275445403377111,-0.03832466165413532,0.13060721388367733,-0.021071203007518795,79.96607535192139,True,0.034915663867766566,0.034915663867766566,11414931.780947275,10355715.396578679
2022-12-14,25.9864,-0.0011221052631579134,0.12284875234521576,-0.021071203007518795,0.1275445403377111,-0.0011221052631579134,79.60123568847891,True,-0.024347754262264876,-0.024347754262264876,11137003.827024253,10103576.982892828
2022-12-15,23.0867,-0.039203984962406034,0.10590024390243905,-0.0011221052631579134,0.12284875234521576,-0.039203984962406034,88.95346300343732,True,-0.11158529076747836,-0.11158529076747836,9894278.016707232,8976166.40746513
2022-12-16,22.1417,-0.08621556390977445,0.08500426829268294,-0.039203984962406034,0.10590024390243905,-0.08621556390977445,89.87321171046378,True,-0.04093265819714387,-0.04093265819714387,9489278.91654184,8608748.055987675
2022-12-19,21.2431,-0.1396414285714286,0.06692134146341464,-0.08621556390977445,0.08500426829268294,-0.1396414285714286,90.60153578014838,True,-0.04058405632810502,-0.04058405632810502,9104165.486479808,8259370.139969006
2022-12-20,21.3164,-0.19914669172932328,0.052695947467166986,-0.1396414285714286,0.06692134146341464,-0.19914669172932328,90.2043084051255,True,0.0034505321727997806,0.0034505321727997806,9135579.702397399,8287869.362364031
2022-12-21,22.3841,-0.21635684210526315,0.047793864915572234,-0.19914669172932328,0.052695947467166986,-0.21635684210526315,89.59107387664487,True,0.0500881950047849,0.0500881950047849,9593164.400012834,8702993.779160304
2022-12-22,20.7037,-0.24157473684210523,0.03080699812382739,-0.21635684210526315,0.047793864915572234,-0.24157473684210523,92.04821326770033,True,-0.07507114424971295,-0.07507114424971295,8872994.57152826,8049650.077760606
2022-12-23,20.7408,-0.26471285714285714,0.011447270168855526,-0.24157473684210523,0.03080699812382739,-0.26471285714285714,92.16398420701853,True,0.0017919502311181112,0.0017919502311181112,8888894.53620142,8064074.650077869
2022-12-27,20.1374,-0.31527616541353387,0.0009063320825515884,-0.26471285714285714,0.011447270168855526,-0.31527616541353387,90.07280926613285,True,-0.029092416878808924,-0.029092416878808924,8630295.11076248,7829471.228615968
2022-12-28,19.1532,-0.38456180451127825,-0.016000272045028154,-0.31527616541353387,0.0009063320825515884,-0.38456180451127825,90.97441594452633,True,-0.04887423401233537,-0.04887423401233537,8208496.047923562,7446811.819595745
2022-12-29,20.6108,-0.37026939849624063,-0.029084465290806764,-0.38456180451127825,-0.016000272045028154,-0.37026939849624063,78.80935313335674,False,0.07610216569554962,0.0,8208496.047923562,8013530.326594197
2022-12-30,20.518,-0.3455407518796993,-0.05128529080675423,-0.37026939849624063,-0.029084465290806764,-0.3455407518796993,78.60712246529235,False,-0.004502493838181909,0.0,8208496.047923562,7977449.455676623
2023-01-03,19.9424,-0.3263293984962406,-0.08263013133208255,-0.3455407518796993,-0.05128529080675423,-0.3263293984962406,78.75895511534058,False,-0.02805341651233073,0.0,8208496.047923562,7753654.7433904605
2023-01-04,20.1002,-0.3157666165413534,-0.10973448405253285,-0.3263293984962406,-0.08263013133208255,-0.3157666165413534,77.91358512895194,False,0.00791278883183577,0.0,8208496.047923562,7815007.77604987
2023-01-05,18.9118,-0.3400351127819549,-0.13732996247654786,-0.3157666165413534,-0.10973448405253285,-0.3400351127819549,77.39877838219262,False,-0.05912378981303679,0.0,8208496.047923562,7352954.89891145
2023-01-06,20.5366,-0.33930684210526313,-0.15642233583489684,-0.3400351127819549,-0.13732996247654786,-0.33930684210526313,84.2637435865511,False,0.08591461415624102,0.0,8208496.047923562,7984681.181959669
2023-01-09,21.2329,-0.30642796992481197,-0.17912352720450284,-0.33930684210526313,-0.15642233583489684,-0.30642796992481197,83.28023302033864,False,0.03390532025749149,0.0,8208496.047923562,8255404.354587978
2023-01-10,21.6228,-0.27058962406015025,-0.18158839587242026,-0.30642796992481197,-0.17912352720450284,-0.27058962406015025,83.61805300916875,False,0.018363012117986743,0.0,8208496.047923562,8406998.444790158
2023-01-11,22.7369,-0.19015127819548874,-0.17477757973733582,-0.27058962406015025,-0.18158839587242026,-0.19015127819548874,82.32736492287867,False,0.051524316924727476,0.0,8208496.047923562,8840163.297045218
