date,portfolio,ew_bh,tecl_only
2011-01-06,172210.9825341645,163065.14527231094,164236.23050843584
2011-01-07,171348.4245755477,162248.39632425975,162950.6825131937
2011-01-10,172367.85359520197,163213.68517366145,164400.66106596682
2011-01-11,173446.2928805163,164234.8503522078,164908.90097106254
2011-01-12,177741.89488988873,168302.32012319867,169273.78486188475
2011-01-13,177621.98609055372,168188.7794796505,169109.35430435376
2011-01-14,181501.1630642531,171861.93985214765,173384.54880015904
2011-01-18,183112.20084713082,173387.41811281562,175028.85437546877
2011-01-19,177751.50705112828,168311.421798631,171112.41745973108
2011-01-20,174421.16682722024,165157.95037406578,166538.25831386948
2011-01-21,172364.249061617,163210.27207082664,163443.9741857866
2011-01-24,178099.47612867918,168640.91082044673,170245.41997456772
2011-01-25,178970.75033054934,169465.91310664988,172009.3114099
2011-01-26,181857.83695645677,172199.67139046866,175178.3367004969
2011-01-27,184600.17067131412,174796.36434824593,178227.7761310713
2011-01-28,172591.58271480154,163425.532413903,166179.50073380186
2011-01-31,175697.02928026923,166366.05390609603,169079.4578393481
2011-02-01,184701.2651413292,174892.08986003767,177779.32915598684
2011-02-02,184635.33118805182,174829.65754874522,179214.35947625717
2011-02-03,185483.1328880358,175632.4339183799,179707.65114885007
2011-02-04,188678.60222447908,178658.19722274385,184251.91382970606
2011-02-07,191771.108007229,181586.46519554596,186912.69921520725
2011-02-08,194896.94088222165,184546.29031446093,189648.22576322252
2011-02-09,193699.79171969902,183412.7197417441,188422.47069799164
2011-02-10,192597.33039343168,182368.8082926632,184177.17266719198
2011-02-11,196007.9613299889,185598.30632441392,186748.2686576763
2011-02-14,197270.8612985948,186794.13578787024,187749.8002353649
2011-02-15,195551.9944747585,185166.5551062664,185118.91131486936
2011-02-16,199308.06956522726,188723.15133066507,188915.76237058453
2011-02-17,200026.82432491038,189403.73422716904,189289.4681831549
2011-02-18,200032.9184182715,189409.50467342403,189618.32929821685
2011-02-22,184623.60994539005,174818.5588016776,174281.44275032796
2011-02-23,179472.47458133852,169940.9916216067,167375.3593340271
2011-02-24,180814.63483921145,171211.87199292885,169139.25076935935
2011-02-25,187862.294332735,177885.24207786642,176120.07534817426
2011-02-28,189947.60736811714,179859.80762559723,177286.0374833939
2011-03-01,180246.33555545355,170673.75413365848,167614.53105407217
2011-03-02,182126.59427758586,172454.15545976558,169647.4906744551
2011-03-03,192042.8128923109,181843.7402886039,178451.99961861354
2011-03-04,188569.6434006997,178555.0250198632,175058.7508404744
2011-03-07,181849.38251875862,172191.66595381673,167808.8580766088
2011-03-08,184993.669358022,175168.96497782395,170350.05760208744
2011-03-09,182191.7683780217,172515.8682727301,166762.4818014117
2011-03-10,172403.07153879365,163247.03275117054,156642.5283970055
2011-03-11,175433.77692907443,166116.78244698723,159348.15848001515
2011-03-14,173239.12965500815,164038.68921912878,157673.95643969977
2011-03-15,166334.21421070688,157500.48228569672,150140.04725828065
2011-03-16,155155.99224782252,146915.91699583636,138869.07995115765
2011-03-17,159377.0015907369,150912.75559212948,141903.57114922922
2011-03-18,160085.03724922478,151583.18866097517,142561.2933793531
2011-03-21,168245.26680667553,159310.04207450312,149900.8755382356
2011-03-22,167282.37944629515,158398.29205141647,149392.63563313987
2011-03-23,169522.85550309933,160519.78017200966,151948.78339112134
2011-03-24,177010.56653070354,167609.83139003313,159482.69257254043
2011-03-25,178392.49908682265,168918.37181936018,160469.27591772625
2011-03-28,176100.00373334566,166747.62705993894,158092.50694977862
2011-03-29,180041.3294682601,170479.635576886,160977.515822822
2011-03-30,182658.2556184371,172957.5811560006,161934.20270300217
2011-03-31,182436.08504914676,172747.20969406803,161082.15345034166
2011-04-01,182895.68852463266,173182.40439765147,159856.39838511078
2011-04-04,181439.8872347998,171803.9182795137,156836.85541954203
2011-04-05,180647.5625737888,171053.67265609672,156567.78723449135
2011-04-06,182811.17847072598,173102.38253136582,159901.24308261924
2011-04-07,182350.72045073748,172666.37866670912,160095.5701051558
2011-04-08,179714.28491678642,170169.95981456345,157374.99178964336
2011-04-11,178216.75707242318,168751.96316941935,156298.71904944067
2011-04-12,175088.77408581338,164793.21432869343,155029.7332075383
2011-04-13,176895.6518795841,167178.290615719,155996.93007311816
2011-04-14,176627.5464979222,166606.75238666896,155695.14109679565
2011-04-15,176825.28523268132,166268.95760714434,155393.35212047317
2011-04-18,173029.99091819715,161891.1374964678,154003.6506880418
2011-04-19,175173.11065269634,164409.68642872246,154426.15525489327
2011-04-20,183002.39032279505,174479.68074437144,157681.05977513242
2011-04-21,186010.3456831181,178550.49069832556,159075.17763160754
2011-04-25,186391.2712541802,179249.66106256758,159195.89322213654
2011-04-26,189612.08432749947,183144.88973687464,160523.7647179555
2011-04-27,193004.76541900303,186403.95590639714,162598.47585045546
2011-04-28,193637.11768906235,187008.38827890204,162850.80558278653
2011-04-29,194109.6931257611,187468.4510776623,163411.53832130003
2011-05-02,192405.9599518055,185797.62370504183,160846.18604260075
2011-05-03,189910.89331161766,183401.40086403044,159346.2259670771
2011-05-04,187920.0633128271,181502.7715847263,158743.4382731751
2011-05-05,184706.54881037297,178419.96391925498,156963.11182839467
2011-05-06,186504.63256689944,180152.44395592326,158294.85208236426
2011-05-09,188539.86852608685,182103.18891183875,159346.2259670771
2011-05-10,193532.5178587935,186928.85040302618,163719.94132748246
2011-05-11,188578.32231302574,182154.07329356455,159991.06861636761
2011-05-12,191675.34282011594,185150.17073954706,162822.76894586088
2011-05-13,185506.91691242502,179175.62342571435,156864.9835991548
2011-05-16,178237.15040494438,172122.35846795322,149309.10994768524
2011-05-17,178122.2096568106,171985.83491383324,148075.49792295555
2011-05-18,182904.4692623128,176604.09983982053,152084.7370033271
2011-05-19,184038.16290571267,177693.63085264553,152799.67124493187
2011-05-20,180242.23203568137,174038.25801480535,150080.11746314133
2011-05-23,172843.72836988003,166887.31914116317,143603.6543333103
2011-05-24,170943.89671272173,165046.85369054973,141753.2362962157
2011-05-25,172978.0328325829,167017.3225554282,143729.81919947584
2011-05-26,175885.7616503663,169825.05711361702,146154.98829354678
2011-05-27,178478.18310864843,172337.06139577433,148706.3222537832
2011-05-31,185624.05021408104,179242.17366134524,154888.4006958947
2011-06-01,173554.92086711322,167592.20402714945,145005.48617959407
2011-06-02,173883.5859536661,167915.05543478724,145524.1639627191
2011-06-03,166996.46518474442,161248.9700203089,139075.7374698137
2011-06-06,162563.7192887577,156988.71457950797,136272.0737772461
2011-06-07,161572.614196235,156011.8610087973,134561.8389247799
2011-06-08,158271.4087877128,152804.17425296508,130917.07612444207
2011-06-09,159812.7543394682,154270.26867323875,131211.46081216168
2011-06-10,152872.98684591823,147575.41247761642,125702.26165626643
2011-06-13,152730.57463785156,147455.76017200877,125155.54723621576
2011-06-14,157289.98128699476,153078.0266779603,130089.99533513466
2011-06-15,150853.46599488496,144991.03887860622,123277.09256219548
2011-06-16,150299.88030956802,143947.0538444999,121650.96762050629
2011-06-17,150126.70130042563,143549.95453807473,120347.26400346239
2011-06-20,151115.08218531613,145475.73845645212,121566.85770972926
