up,down,vwin,ventry,vexit,cagr,maxdd,sharpe,calmar,final,time_in_mkt,trades
20,5,20,120.0,120.0,2.9554979858864794,-39.585087837733504,0.257041734229496,0.0746619029368232,166072.50339955196,13.878110020543255,95
20,5,20,120.0,150.0,2.9554979858864794,-39.585087837733504,0.257041734229496,0.0746619029368232,166072.50339955196,13.878110020543255,95
20,5,30,,60.0,2.0850531936593253,-31.926966388198696,0.22994986652508073,0.06530696240623828,143107.72516983585,9.265614275909403,101
20,5,30,,70.0,2.914881641224576,-32.053933967596834,0.2803937214374882,0.09093678311595749,164714.7754845159,11.027224891329215,101
20,5,30,,80.0,4.903915339562226,-32.05393396759675,0.3908808995355553,0.15298950027536662,229683.31432335064,12.422786547700754,100
20,5,30,,100.0,3.216855830075982,-36.57356871137266,0.27450141553784513,0.08795575448112317,173313.97749413826,13.566689544726607,100
20,5,30,,120.0,1.897022929980463,-43.168206144815755,0.19567533774902318,0.043944909909310284,138597.82307663842,13.93273850377488,100
20,5,30,,150.0,2.1311225513751975,-43.16820614481579,0.20648226477042628,0.04936787375935775,144233.60190770045,14.2301532830016,100
20,5,30,90.0,,4.008803954654594,-34.750606097478794,0.3233514780010032,0.11535925282596549,197919.84057939652,13.200640585678332,87
20,5,30,90.0,60.0,2.5524382175484694,-32.374100217020604,0.27122493159173333,0.07884198172113309,154924.4950159199,8.968199496682681,88
20,5,30,90.0,70.0,3.386065942056393,-32.05393396759681,0.31817710511866176,0.10563651704902596,178315.6945812318,10.729810112102493,88
20,5,30,90.0,80.0,5.384206209216091,-32.05393396759686,0.4256324775429966,0.1679733356491891,248648.85136632805,12.125371768474032,87
20,5,30,90.0,100.0,4.008803954654594,-34.750606097478794,0.3233514780010032,0.11535925282596549,197919.84057939652,13.200640585678332,87
20,5,30,90.0,120.0,4.008803954654594,-34.750606097478794,0.3233514780010032,0.11535925282596549,197919.84057939652,13.200640585678332,87
20,5,30,90.0,150.0,4.008803954654594,-34.750606097478794,0.3233514780010032,0.11535925282596549,197919.84057939652,13.200640585678332,87
20,5,30,120.0,,1.8911204349892685,-39.58508783773357,0.1954999293104657,0.04777355661660555,138458.4439925778,13.841226264012812,95
20,5,30,120.0,60.0,2.0487595040662,-32.37410021702062,0.2286864082875135,0.06328390566323967,142226.59158695777,9.151223976206818,96
20,5,30,120.0,70.0,2.8782929276769176,-32.05393396759679,0.2795931103399439,0.0897953096985404,163700.60437597963,10.91283459162663,96
20,5,30,120.0,80.0,4.866619476736811,-32.05393396759679,0.39093943501905426,0.15182596562582487,228269.12315067457,12.30839624799817,95
20,5,30,120.0,100.0,3.1801597574474982,-33.59423426105871,0.2732526753556457,0.09466385608716883,172246.8599379684,13.45229924502402,95
20,5,30,120.0,120.0,1.8607960896645626,-39.58508783773358,0.1937548931168612,0.04700750184747098,137744.4575697679,13.818348204072295,95
20,5,30,120.0,150.0,1.8911204349892685,-39.58508783773357,0.1954999293104657,0.04777355661660555,138458.4439925778,13.841226264012812,95
20,5,40,,60.0,0.23421577500666313,-31.44531765759836,0.08062742501596576,0.007448351374821233,104136.99671230237,9.172208209126346,100
20,5,40,,70.0,0.003697987657513835,-33.08044272595792,0.06639524714272203,0.00011178773174677186,100064.09755258774,9.928915386379272,100
20,5,40,,80.0,5.384504002003854,-33.935027854615406,0.41747180147695134,0.15867097634550853,248126.0617296993,12.26782847970649,99
20,5,40,,100.0,2.73986794182286,-40.85778771997401,0.24599291742669668,0.06705864645929985,159739.29947334377,13.597798670029809,99
20,5,40,,120.0,3.402492823384007,-43.16820614481581,0.27744048825351186,0.07881941658566281,178562.90896943441,14.079339601008941,99
20,5,40,,150.0,4.6248281758894505,-35.281334223983166,0.33551229455016884,0.13108427664693117,218891.1924638792,14.515019490942443,99
20,5,40,90.0,,4.378762531299363,-33.02285376606506,0.3489125215553354,0.13259794451196297,210139.92699637378,13.001605136436597,85
20,5,40,90.0,60.0,0.29800968543101103,-39.270558491747984,0.08453355287280988,0.0075886286540496365,105291.43621924662,8.851180921806925,86
