date,portfolio,strat_only,gld_only,tecl_bh
2023-03-31,3032591.005233917,8410834.275147246,208488.84842967577,11408209.693372954
2023-04-03,3027156.791716638,8367857.73683355,209990.89667728613,11349917.573359765
2023-04-04,3015521.063072751,8234382.526493897,213905.3254437859,11168875.700626496
2023-04-05,2947103.869888734,7947086.312506581,213734.6381429211,10779195.51599082
2023-04-06,2968138.505180886,8069258.304341783,212209.83158852876,10944906.033630121
2023-04-10,2955957.1398753356,8051148.8467378775,210639.50842057247,10920342.89482366
2023-04-11,2910014.0862038676,7827199.272369051,211970.86936731802,10616584.240026427
2023-04-12,2884915.9486760055,7698245.3494311785,213006.37232589792,10441674.909330744
2023-04-13,2997320.2522157896,8114495.4863563655,215885.29813381782,11006264.4246621
2023-04-14,2943985.6009896626,7969717.057512263,212061.902594446,10809891.196834866
2023-04-17,2959431.6519160788,8055670.134139655,211117.43286299397,10926475.436861243
2023-04-18,2980587.3015672006,8128059.348561707,211936.7319071451,11024662.050774861
2023-04-19,2958455.625964485,8055670.134139654,210923.98725534722,10926475.436861243
2023-04-20,2924881.9725420047,7895067.19938932,211754.6654528893,10708638.311902454
2023-04-21,2893569.280062055,7806829.171064254,209660.9012289476,10588954.830201168
2023-04-24,2872852.031945466,7705051.58853063,210298.1338188429,10450906.693043238
2023-04-25,2761753.5170856966,7209630.306080719,211367.77423759573,9778931.750741882
2023-04-26,2832021.7148221983,7533121.127279061,210218.47974510596,10217705.242334366
2023-04-27,2941658.276723897,7999129.733620616,210229.85889849695,10849785.690735292
2023-04-28,3002053.544462772,8254752.627798687,210286.75466545194,11196505.110451745
2023-05-01,3001009.2796132197,8270577.133704916,209342.28493399997,11217969.007583296
2023-05-02,2966604.28164928,8037584.984532532,213381.8843878006,10901945.268710895
2023-05-03,2926793.6245370386,7829459.916069938,215191.16977696764,10619650.511045216
2023-05-04,2907833.599449088,7716354.807035079,216704.59717796894,10466238.048137201
2023-05-05,3024241.695569395,8284165.3039070405,213313.60946745463,11236399.604352172
2023-05-08,3022367.023965745,8270577.133704916,213575.32999544736,11217969.007583296
2023-05-09,2984790.37548704,8078300.879145337,215088.7573964487,10957171.117705287
2023-05-10,3050796.2104377067,8365597.093132653,214781.52025489204,11346851.302340964
2023-05-11,3013836.110617645,8247970.696696015,212938.09740555202,11187306.297395365
2023-05-12,3004019.515860862,8214036.733185879,212573.9644970404,11141279.261457348
2023-05-15,3052591.8175367108,8410834.275147239,213029.1306326799,11408209.693372944
2023-05-16,3046073.323008219,8440246.951255592,210366.4087391888,11448104.187273372
2023-05-17,3120597.8360171914,8772804.655254278,209638.1429221656,11899175.733597146
2023-05-18,3233477.1006937,9311202.476017885,206918.52526171957,12629442.795911688
2023-05-19,3237426.854397295,9284050.443610419,208966.77287209732,12592614.573030053
2023-05-22,3246126.913730992,9331548.269325897,208477.4692762849,12657039.23508083
2023-05-23,3151643.288785993,8924365.015201053,208727.81065088656,12104747.774480762
2023-05-24,3095801.481964881,8723021.877841128,207043.69594902036,11831651.82987146
2023-05-25,3321408.4848701013,9725191.969242183,205052.34410559753,13190966.040224254
2023-05-26,3517041.392428131,10539582.785488656,205871.64314974865,14295581.932080505
2023-05-30,3562299.6585429967,10704707.00764077,207146.1083295393,14519551.59907688
2023-05-31,3500609.567993859,10435520.251257358,207464.72462448696,14154434.553247666
2023-06-01,3580685.690981309,10740901.614851795,209103.32271278914,14568644.90603369
2023-06-02,3610345.021145408,10933202.177408159,206019.57214383155,14829475.766567817
2023-06-05,3570321.5839881385,10736380.327450015,207259.89986344916,14562512.363996103
2023-06-06,3568280.3883913625,10722816.465244673,207487.48293126895,14544114.737883342
2023-06-07,3441869.397882495,10238698.401299214,204995.44833864266,13887471.150675956
2023-06-08,3531600.701359605,10562189.222497556,207703.68684569767,14326244.64226844
2023-06-09,3563894.3892540867,10711488.938743439,207146.10832953925,14528750.41213326
2023-06-12,3725752.6267386577,11403732.071151491,206964.04187528347,15467688.757006327
2023-06-13,3766467.039228958,11609596.495913196,205439.23532089114,15746917.243653212
2023-06-14,3848961.1741178054,11957978.705818115,205553.02685480102,16219452.687108543
2023-06-15,3964768.6569121596,12419466.02475789,206998.17933545646,16845400.59347188
2023-06-16,3888688.8753128876,12102757.134662218,206679.5630405088,16415825.914935777
2023-06-20,3818312.836294572,11849370.576188253,204540.28220300312,16072139.795582
2023-06-21,3691722.3260515844,11317365.758578777,204244.4242148375,15350544.01582598
2023-06-22,3749641.773850308,11607141.388238039,202218.93491124167,15743587.207385497
2023-06-23,3657697.1551280944,11204163.417556785,202776.51342740003,15196999.670293504
2023-06-26,3599323.038829468,10948346.059404444,203129.26718252062,14850016.485328123
2023-06-27,3749526.9472677666,11607141.388238037,202196.17660445964,15743587.207385497
2023-06-28,3749836.6027248558,11618468.914739272,201729.63131542914,15758951.533135578
2023-06-29,3765247.497728059,11688646.101453999,201513.42740100037,15854137.817342632
2023-06-30,3899252.0542633804,12229717.80186382,202856.16750113692,16588031.651829943
2023-07-03,3879640.241441188,12141431.157545187,203083.75056895672,16468282.228816424
2023-07-05,3828766.972961627,11919572.070899764,202366.8639053245,16167359.050445171
2023-07-06,3800283.402797874,11801848.44247599,201763.76877560216,16007682.162875105
2023-07-07,3776545.6609129687,11638839.016044063,203277.19617660352,15786580.942960829
2023-07-10,3797361.5598735297,11733931.899462154,203436.50432407734,15915562.149686847
2023-07-11,3818443.550022343,11810891.017279554,204198.90760127353,16019947.246950284
2023-07-12,3919221.622656584,12207087.056858135,206964.04187528352,16557335.970985891
